OID_,Enclosure,Greeness,Openness,Population,Facilities
224,0.228056,0.130428,0.018896,0.539454385,0.108954716
225,0.187166,0.18456,0.003234,0.276914051,0.023065722
226,0.264183,0.160597,0.000784,0.591082429,0
227,0.222571,0.192273,0.00596,0.514227046,0.031740222
228,0.289018,0.113124,0.003317,0.411557642,0.074759057
229,0.188278,0.220027,0.012114,0.51012027,0.055376042
230,0.274564,0.20914,0.004132,0.379290114,0
231,0.21056,0.125623,0.000601,0.30214139,0.027571299
232,0.310523,0.141689,0.01679,0.363156351,0.011201781
233,0.263778,0.13057,0.032423,0.463479026,0
234,0.291786,0.160679,0.014989,0.403930771,0
235,0.194057,0.226634,0.0052,0.383396891,0
236,0.25769,0.188925,0.011512,0.543561162,0.109037916
237,0.212514,0.337394,0,0.40099736,0.120895171
238,0.333498,0.081397,0.000914,0.486652977,0
239,0.305123,0.123811,0.000549,0.393957172,0.098574907
240,0.360403,0.097931,0.008614,0.433558228,0
241,0.451661,0.030701,0.027673,0.366969786,0
242,0.310755,0.162151,0.000317,0.35787621,0.021869171
243,0.295218,0.117873,0.001549,0.311528307,0.046116836
244,0.292299,0.084737,0.00174,0.077148724,0.056201581
245,0.212227,0.348934,0.002243,0.057494867,0
246,0.253815,0.145403,0.022058,0.329128777,0.011799527
247,0.253908,0.142669,0.026984,0.332355529,0.021418703
248,0.235059,0.174535,0.000301,0.093575829,0.024915543
249,0.317009,0.107615,0.015841,0.332942212,0.001624999
250,0.333844,0.046786,0.004436,0.585508947,0.011208982
251,0.397563,0.014302,0.002312,0.409504253,0.053214511
252,0.359068,0.036511,0.003883,0.387210326,0.107088038
253,0.314215,0.071114,0.003615,0.375183338,0.162428447
254,0.369253,0.048089,0.010015,0.40099736,0
255,0.344094,0.085341,0.002207,0.364623057,0.097137364
256,0.258304,0.120413,0.007634,0.345849223,0.037223894
257,0.271162,0.164573,0.010315,0.391903784,0.113893756
258,0.231978,0.118416,0.027879,0.362276327,0.015978279
259,0.138696,0.184952,0.008141,0.471105896,0.163409072
260,0.432751,0.060186,0.002868,0.437371663,0.014146286
261,0.381696,0.099155,0.002154,0.384570255,0.08722257
262,0.255035,0.136449,0.022492,0.470225873,0
263,0.362741,0.098686,0.020204,0.574948665,0
264,0.257739,0.143086,0.002296,0.318568495,0.102434377
265,0.359307,0.176651,0.007263,0.476679378,0
266,0.293974,0.132953,0.015059,0.420651217,0.065664042
267,0.117983,0.22449,0.029006,0.518040481,0.124210309
268,0.289755,0.095544,0.003341,0.422411264,0.040995528
269,0.314965,0.113707,0.020499,0.339395717,0.013531413
270,0.220301,0.107619,0.008482,0.413317688,0.011629003
271,0.555556,0.028871,0,0.501320035,0
272,0.319182,0.128313,0.005845,0.585802288,0.073483724
273,0.231765,0.117715,0.006747,0.383396891,0.058715824
274,0.265676,0.138045,0.003276,0.359049575,0.010314789
275,0.227277,0.128555,0.002149,0.392783808,0.067712632
276,0.233,0.118227,0.003585,0.341742446,0.08476659
277,0.247195,0.134332,0.025767,0.448225286,0
278,0.255694,0.125342,0.021376,0.415957759,0.052846973
279,0.254705,0.090419,0.023725,0.232912878,0
280,0.351641,0.133003,0.026135,0.181284834,0.277184505
281,0.330415,0.170829,0.001761,0.110882957,0.041517921
282,0.222173,0.146587,0.00612,0.173071282,0.080713522
283,0.343378,0.127228,0.002706,0.317688472,0.049052972
284,0.28974,0.124824,0.001294,0.332062188,0.05902967
285,0.317844,0.144222,0.000432,0.218539161,0.1967939
286,0.147627,0.145682,0.01685,0.325315342,0.064912333
287,0.183976,0.143984,0.044286,0.48987973,0.014638744
288,0.28668,0.119053,0.020844,0.204752127,0.054107217
289,0.272934,0.135095,0.012189,0.415664418,0.021600808
290,0.274601,0.126533,0.02549,0.447638604,0.017508252
291,0.303079,0.103453,0.020087,0.337929011,0.04223923
292,0.246591,0.087296,0.007395,0.213552361,0.098537737
293,0.317925,0.086557,0.001943,0.452625403,0.034176047
294,0.308686,0.09568,0.004408,0.326488706,0.062445026
295,0.14995,0.189443,0.00067,0.256086829,0.097429483
296,0.323141,0.094414,0.000325,0.330888824,0.080047963
297,0.219483,0.198051,0.017681,0.235552948,0.011469268
298,0.373098,0.098371,0.007007,0.390437078,0.005816134
299,0.259047,0.089258,0.010795,0.34262247,0.015344216
300,0.415235,0.09363,0.003502,0.353476093,0
301,0.300747,0.180197,0.000646,0.645643884,0.009071869
302,0.170316,0.248595,0.015626,0.390437078,0.053139075
303,0.188571,0.202076,0.013597,0.206805515,0.04098726
304,0.234342,0.141942,0.02078,0.450278674,0.027523236
305,0.176333,0.163861,0.036169,0.157817542,0.029508064
306,0.308573,0.108395,0.006904,0.317981813,0.016006188
307,0.191577,0.204472,0.019482,0.239366383,0.002192612
308,0.317936,0.111136,0.002247,0.50513347,0.053619707
309,0.366719,0.081821,0.005712,0.382810208,0
310,0.307416,0.125179,0.006322,0.437958346,0.02414527
311,0.348225,0.130531,0.001142,0.479906131,0.112876184
312,0.32452,0.141005,0.004442,0.5024934,0
313,0.361053,0.126284,0.002225,0.536227633,0.014729048
314,0.423883,0.101818,0.003037,0.381930185,0.063241854
315,0.335684,0.164237,0.004823,0.454972133,0.032601569
316,0.298922,0.151065,0.000976,0.371076562,0
317,0.318723,0.112143,0.002671,0.413317688,0
318,0.322511,0.090588,0.004879,0.469932532,0.047551313
319,0.286202,0.110487,0.005594,0.456438838,0
320,0.178362,0.216889,0.004507,0.422411264,0
321,0.305917,0.114664,0.002763,0.541214432,0.057079974
322,0.2557,0.148414,0.001379,0.302434732,0
323,0.186004,0.103637,0.004239,0.373716632,0.023332504
324,0.208413,0.157128,0.000037,0.327662071,0.007479047
325,0.217682,0.139315,0.00504,0.382516867,0.041288632
326,0.33913,0.133961,0.001019,0.476679378,0.096760264
327,0.210214,0.114247,0.030467,0.500146671,0.092712665
328,0.244898,0.172849,0.010336,0.508066882,0
329,0.220756,0.20241,0.003285,0.650630683,0
330,0.284678,0.104498,0.00731,0.432678205,0.019478299
331,0.303129,0.121022,0.030573,0.655030801,0.006868143
332,0.378238,0.11394,0.022493,0.654150777,0.002552221
333,0.217929,0.223165,0.003455,0.627163391,0.011028803
334,0.315754,0.062088,0.000707,0.347902611,0.024166421
335,0.209488,0.241384,0.001456,0.324141977,0.127730178
336,0.208429,0.130412,0.005975,0.378410091,0.071182546
337,0.229805,0.198606,0.002601,0.497799941,0.019117087
338,0.123787,0.289975,0.005882,0.460545615,0.00608375
339,0.194065,0.217324,0.00063,0.390143737,0
340,0.273551,0.163888,0.00505,0.491346436,0.003574911
341,0.313748,0.104166,0.004997,0.533880903,0
342,0.277693,0.134303,0.005041,0.442651804,0
343,0.304074,0.154927,0.022815,0.655030801,0.002269636
344,0.190654,0.087721,0.017318,0.381930185,0
345,0.280492,0.161125,0.007363,0.462305661,0.01825823
346,0.280291,0.166842,0.007452,0.480492813,0
347,0.217812,0.2263,0.027959,0.546201232,0.026323265
348,0.28895,0.106136,0.00659,0.293927838,0
349,0.375011,0.099937,0.001007,0.512466999,0.005345631
350,0.190545,0.233088,0.009714,0.396597243,0.053318764
351,0.304885,0.141461,0.007248,0.502200059,0
352,0.249855,0.169462,0.006481,0.36550308,0
353,0.250304,0.179409,0.008104,0.414491053,0.008231183
354,0.188298,0.196823,0.003728,0.40363743,0.020500011
355,0.226141,0.20288,0.009702,0.402170725,0.060064251
356,0.283516,0.147592,0.015376,0.399237313,0.067481024
357,0.325105,0.151736,0.003499,0.437958346,0
358,0.344715,0.16429,0.000732,0.344675858,0
359,0.157146,0.153027,0.009184,0.371663244,0.106136109
360,0.241199,0.180214,0.029283,0.551481373,0.053146956
361,0.359859,0.094723,0.000199,0.388970373,0.060656793
362,0.225672,0.169892,0.017962,0.303314755,0.027575605
363,0.310969,0.135994,0.005229,0.421824582,0.028816007
364,0.208284,0.147933,0.007333,0.287474333,0
365,0.270466,0.141869,0.010122,0.388970373,0.01039185
366,0.257175,0.110079,0.000922,0.532707539,0.039553786
367,0.359833,0.162446,0.002093,0.359929598,0.026266717
368,0.245277,0.239555,0.000189,0.338515694,0
369,0.244045,0.164198,0.008336,0.369316515,0.021095942
370,0.23571,0.19616,0.010659,0.273980639,0
371,0.33181,0.141482,0.010966,0.402170725,0.082698777
372,0.339048,0.139612,0.000609,0.499266647,0.037013342
373,0.393077,0.08128,0.002155,0.45937225,0.051199652
374,0.258036,0.155864,0.009487,0.474039308,0.099124815
375,0.21987,0.189208,0.001397,0.36286301,0
376,0.395847,0.097118,0.002483,0.388970373,0.028520277
377,0.370293,0.061279,0.00028,0.44675858,0.113015152
378,0.311725,0.143902,0.000542,0.318568495,0.032705538
379,0.304026,0.116894,0.000307,0.44675858,0
380,0.322385,0.077405,0,0.262540334,0
381,0.294622,0.109224,0.002967,0.413317688,0.068653807
382,0.234895,0.122523,0.005649,0.414197712,0.098457868
383,0.186209,0.232281,0.004047,0.185684952,0.00754125
384,0.238157,0.16194,0.005953,0.567321795,0
385,0.346347,0.088022,0.002012,0.521560575,0.040229283
386,0.251218,0.136379,0.00449,0.498093282,0
387,0.175066,0.2469,0.004423,0.325022001,0.090531343
388,0.194568,0.257184,0.000745,0.466412438,0.013980117
389,0.225672,0.219547,0.014517,0.150777354,0
390,0.288758,0.080801,0.007109,0.042241126,0.079902889
391,0.27995,0.123129,0.005809,0.47726606,0
392,0.335076,0.111192,0.003972,0.474039308,0.042303202
393,0.231709,0.138194,0.003199,0.484306248,0.055058026
394,0.326877,0.09538,0.002571,0.609856263,0.079135359
395,0.288258,0.135979,0.001334,0.413904371,0.1360481
396,0.284997,0.171574,0.000475,0.400410678,0.149400763
397,0.321562,0.144404,0.002449,0.476386037,0.18608923
398,0.280322,0.105645,0.021484,0.353476093,0.094283623
399,0.314231,0.184254,0.003377,0,0.016478733
400,0.377633,0.061389,0.002154,0.374596656,0.099345138
401,0.354491,0.103381,0.000707,0.34526254,0.1286789
402,0.433698,0.151247,0.001062,0.391023761,0.133272812
403,0.282386,0.158651,0.000369,0.413024347,0
404,0.415581,0.052654,0.001815,0.337342329,0.01564096
405,0.370439,0.09103,0.004351,0.40363743,0.103415589
406,0.391935,0.065598,0.003406,0.552361396,0.221726474
407,0.270759,0.162232,0.005983,0.46963919,0.08860595
408,0.333514,0.085717,0.004927,0.571428571,0.045471627
409,0.290049,0.127214,0.004232,0.337048988,0.195214739
410,0.318558,0.147041,0.012298,0.624229979,0.129260966
411,0.232718,0.231412,0.000642,0.403930771,0.017147281
412,0.217732,0.130286,0.00361,0.442358463,0.049628006
413,0.300453,0.098288,0.007869,0.550014667,0
414,0.198157,0.140809,0.007627,0.514813728,0
415,0.421274,0.063257,0.007045,0.399530654,0.093799989
416,0.220101,0.150447,0.005066,0.612496333,0.17649812
417,0.403013,0.08675,0.00079,0.32238193,0.093064835
418,0.402273,0.100254,0.000175,0.554414784,0
419,0.360733,0.099975,0.000507,0.366676445,0.085282901
420,0.317242,0.114654,0.001008,0.488706366,0.011330711
421,0.140585,0.158627,0.031232,0.280727486,0
422,0.10758,0.104048,0.018402,0.286300968,0.018841218
423,0.335006,0.124468,0.000963,0.123496627,0.031002476
424,0.145171,0.095663,0.046371,0.167204459,0.034469493
425,0.235893,0.174852,0.022242,0.34262247,0.094416588
426,0.214952,0.130743,0.068175,0.046934585,0.032135834
427,0.208667,0.126089,0.069185,0.13464359,0.016821224
428,0.212441,0.18288,0.024982,0.156644177,0.002951369
429,0.261573,0.154424,0.007283,0.447051921,0.029167516
430,0.245718,0.203971,0.01541,0.175711352,0.001338185
431,0.240326,0.114485,0.014316,0.374596656,0.004815346
432,0.242619,0.149928,0.007638,0.304781461,0.010533311
433,0.196389,0.22205,0.004683,0.173071282,0.010190204
434,0.31028,0.123406,0.002129,0.328835436,0
435,0.306645,0.103374,0.006053,0.40363743,0
436,0.253632,0.101175,0.006196,0.376356703,0.007729748
437,0.343406,0.087286,0.008952,0.48723966,0.045961397
438,0.267768,0.174753,0.006969,0.200645351,0.005877751
439,0.269501,0.04191,0.005903,0.472279261,0.002492651
440,0.338278,0.040361,0.026929,0.49486653,0.009849173
441,0.373025,0.068711,0.016063,0.498679965,0.047642385
442,0.222646,0.137763,0.000455,0.508653564,0.037890799
443,0.31122,0.0802,0.005955,0.527427398,0.009461364
444,0.262355,0.103508,0.011447,0.510706952,0.029303193
445,0.282873,0.103664,0.014944,0.507186858,0.011658962
446,0.279752,0.084298,0.011972,0.51774714,0.03452276
447,0.326055,0.028854,0.020631,0.485772954,0
448,0.342663,0.046648,0.01995,0.578468759,0
449,0.262856,0.067952,0.019115,0.467292461,0.00675343
450,0.336439,0.058849,0.016186,0.421824582,0.039806502
451,0.292684,0.071465,0.013944,0.532707539,0.026856019
452,0.303756,0.089521,0.008891,0.589909064,0
453,0.307766,0.075504,0.034037,0.523027281,0.016520141
454,0.26161,0.151444,0.003131,0.35024934,0.008030883
455,0.26781,0.121544,0.011465,0.388970373,0
456,0.193149,0.166289,0.039025,0.464065708,0.026690007
457,0.328867,0.035474,0.004193,0.246406571,0.020674787
458,0.296649,0.09431,0.003407,0.235259607,0.018157495
459,0.306264,0.099678,0.010905,0.365796421,0.001943325
460,0.275208,0.112852,0.017234,0.360809622,0.010076721
461,0.20698,0.083322,0.021884,0.329422118,0.00495266
462,0.258538,0.135473,0.010067,0.36286301,0.032544866
463,0.2796,0.080151,0.017322,0.146083896,0.016260164
464,0.33414,0.082961,0.003096,0.244939865,0
465,0.342058,0.058293,0.013872,0.486359636,0
466,0.402715,0.079413,0.000693,0.283660898,0.043996203
467,0.161518,0.217902,0.025771,0.378410091,0.036933028
468,0.239398,0.132785,0.037863,0.366383104,0.015018887
469,0.22049,0.121064,0.004122,0.282780874,0.021226409
470,0.26837,0.072501,0.002996,0.152537401,0.0062181
471,0.18918,0.129603,0.028433,0.391903784,0.031844428
